Time,RawValue,Label
23.76,311.43968480093577,relax
23.761,308.4804308410055,relax
23.762,308.16657481910175,relax
23.763,309.5653345082428,relax
23.764,309.2703633825359,relax
23.765,303.9014509511698,relax
23.766,302.6342040060183,relax
23.767,294.7070542802287,relax
23.768,304.9106788376203,relax
23.769,302.5848200196226,relax
23.77,302.9142927254841,relax
23.771,304.1912319702797,relax
23.772,307.3767882469819,relax
23.773,308.5791260170178,relax
23.774,308.3055113729151,relax
23.775,316.5239597983813,relax
23.776,313.8720738885615,relax
23.777,314.87380649379804,relax
23.778,308.02137696506804,relax
23.779,306.5565554659627,relax
23.78,310.6743724762837,relax
23.781,304.06597607050765,relax
23.782,299.4114070800458,relax
23.783,300.4404644408893,relax
23.784,299.3967293901794,relax
23.785,302.3632765232986,relax
23.786,303.1789611654877,relax
23.787,305.8229082547834,relax
23.788,308.66859471736274,relax
23.789,307.6048303674349,relax
23.79,313.7164478326951,relax
23.791,310.98599825499167,relax
